userId,movieId,rating,timestamp
103,84807,1.5,1604344039
436,53519,3.5,1613220455
861,172585,5.0,1541206699
271,158657,3.0,1501061196
107,179845,1.0,1647501532
72,194390,1.0,1512077985
701,563,1.0,1607426979
21,104526,5.0,1663883138
615,80893,1.0,1576999800
122,4831,4.0,1615036090
467,1940,4.0,1662016060
215,43626,5.0,1563412768
331,183305,2.0,1639665621
459,186555,1.5,1577602553
88,187241,4.0,1501931206
373,83359,4.5,1575058476
100,156286,1.5,1579495374
872,182277,3.0,1639794839
664,140984,2.0,1502065224
131,187443,1.5,1578299627
662,7774,5.0,1630169555
309,81702,4.5,1584328736
770,104736,4.5,1547109035
344,6560,5.0,1691162335
492,132296,4.5,1619764520
414,160694,2.5,1685571065
806,67298,3.5,1603214184
386,179689,5.0,1600838576
192,74271,2.5,1598273002
956,155824,1.0,1505583428
277,27764,1.0,1508025696
161,196603,3.0,1615227581
460,162,4.0,1688057843
314,167980,4.0,1523511660
22,85394,4.0,1684857796
253,4519,0.5,1563550386
748,187985,1.0,1557910076
857,181673,5.0,1585380122
561,164955,2.5,1636679692
475,100485,5.0,1626679859
59,115669,3.0,1544191414
511,85744,4.5,1569411398
682,8958,0.5,1651894078
476,194270,1.0,1526186916
700,166486,3.0,1683547273
976,4811,5.0,1646382728
783,83308,5.0,1618522046
190,94788,4.5,1555589541
958,191925,3.0,1632631608
687,84942,5.0,1510781093
958,162738,1.0,1518342898
563,206503,1.5,1690035819
876,137595,2.0,1613689889
567,55549,4.0,1549408509
244,160464,4.5,1654750032
832,153210,1.5,1673886550
505,1177,3.0,1629507389
131,2651,5.0,1576807377
485,40033,2.0,1589310915
819,202447,3.5,1646041698
647,144092,3.5,1676156763
21,176803,5.0,1512409404
841,95232,1.0,1650312239
167,151777,4.5,1577843112
274,170048,3.5,1540065924
388,143741,3.0,1520340862
601,117148,4.5,1575921468
316,173551,1.0,1697682641
14,93656,3.5,1580122716
242,148606,2.0,1591989228
777,2134,4.5,1629549770
346,203030,2.5,1644691249
565,155135,0.5,1563260733
898,132926,4.5,1575568111
340,158151,2.0,1548974430
92,1659,1.0,1651966605
367,190547,3.5,1620351556
956,2412,2.0,1527829801
455,188615,2.5,1689474478
428,175815,2.5,1508451646
509,136742,0.5,1606629134
776,126591,3.0,1501543429
943,144622,4.0,1603867800
35,130812,4.0,1561869790
206,138698,4.0,1693558357
81,139136,1.0,1672523252
932,185873,4.5,1587217084
562,106963,4.5,1655340747
872,93700,2.0,1582713764
388,191989,5.0,1502673165
2,131558,4.5,1605516209
390,1096,1.5,1656247235
566,142763,2.0,1699278417
106,106,1.0,1696801209
772,186331,3.5,1665637211
822,5148,4.0,1640793622
477,105618,3.0,1517088553
703,153782,2.5,1649877271
402,182205,2.5,1645001010
730,167528,1.5,1627090893
556,199702,2.5,1620399240
162,183761,5.0,1653530150
202,117732,5.0,1544741341
958,139072,0.5,1539428730
996,180343,1.5,1579051486
270,156647,5.0,1601900570
863,156759,1.5,1634888992
816,140529,0.5,1579125671
271,200788,3.0,1698989760
456,152559,5.0,1586610699
462,4753,3.5,1668628430
727,136694,4.5,1674423894
252,7930,3.0,1657018555
702,125131,2.5,1573406932
296,178539,1.5,1693449188
725,140880,2.5,1674174691
720,175497,4.0,1612942361
749,182025,3.0,1544109033
338,119308,3.5,1517938284
879,68515,1.0,1560819157
53,208479,1.5,1669489413
792,171603,5.0,1651334331
922,140783,4.0,1616215308
217,183123,1.0,1624583167
764,93970,3.0,1624880647
188,43838,2.0,1659463477
380,141900,4.0,1521399563
493,145040,0.5,1540930411
41,149761,1.5,1660849303
157,135049,2.0,1511737491
15,3350,3.5,1678417713
813,60943,2.5,1686036279
65,138548,1.0,1503325759
857,73089,4.5,1558706198
839,138776,0.5,1571412138
521,179065,5.0,1553999847
344,185701,1.0,1621378795
129,142190,0.5,1642501658
648,4859,1.0,1669740999
472,4268,0.5,1658308500
63,126397,4.0,1625438562
139,7236,5.0,1501179668
499,196079,3.5,1554155821
593,27862,0.5,1636411785
392,159490,4.0,1549557217
675,192935,2.5,1635259615
419,26431,4.5,1583025025
289,34608,1.5,1554026607
379,26822,2.0,1588735965
773,141804,2.0,1677467304
490,167268,0.5,1528909336
231,5494,1.5,1614139555
41,65796,2.0,1549835641
28,170409,2.0,1521087494
135,101322,1.5,1525745293
201,142092,4.0,1614178997
840,33245,3.0,1523824662
780,158721,2.0,1629451168
930,123665,1.0,1562258280
33,149755,4.0,1580820925
48,153921,5.0,1559402591
503,96710,1.5,1533361077
407,203942,1.0,1544812014
574,147607,0.5,1575540817
728,42385,3.5,1619894272
805,455,0.5,1640622730
