userId,movieId,rating,timestamp,title,genres
103,84807,1.5,1604344039,Hideaway (2009),Drama
436,53519,3.5,1613220455,Death Proof (2007),Action|Adventure|Crime|Horror|Thriller
861,172585,5.0,1541206699,Karlson Returns (1970),Adventure|Animation|Children
271,158657,3.0,1501061196,Dustbin Baby (2008),Drama|Thriller
107,179845,1.0,1647501532,Brackenmore (2017),(no genres listed)
72,194390,1.0,1512077985,Lake of Dracula (1971),Horror
701,563,1.0,1607426979,Germinal (1993),Drama|Romance
21,104526,5.0,1663883138,So It Goes (Korsoteoria) (2012),Drama
615,80893,1.0,1576999800,Grimm Love (2006),Crime|Drama|Horror|Thriller
122,4831,4.0,1615036090,Can't Stop the Music (1980),Comedy|Musical
467,1940,4.0,1662016060,Gentleman's Agreement (1947),Drama
215,43626,5.0,1563412768,Julie (1956),Thriller
331,183305,2.0,1639665621,The Nights of Zayandeh-rood (1990),Drama
459,186555,1.5,1577602553,The Cleanse (2018),Comedy|Drama|Fantasy
88,187241,4.0,1501931206,"Human, Too Human (1974)",Documentary
373,83359,4.5,1575058476,"Play House, The (1921)",Comedy
100,156286,1.5,1579495374,The Noose Hangs High (1948),Comedy
872,182277,3.0,1639794839,The Isle of Pingo Pongo (1938),Animation
664,140984,2.0,1502065224,Final Accord (1936),Drama
131,187443,1.5,1578299627,Rot (1997),(no genres listed)
662,7774,5.0,1630169555,My Side of the Mountain (1969),Adventure|Children
309,81702,4.5,1584328736,Lake Tahoe (2008),Drama
770,104736,4.5,1547109035,Closed Circuit (2013),Crime|Drama|Mystery
344,6560,5.0,1691162335,Loose Cannons (1990),Action|Comedy
492,132296,4.5,1619764520,The Outsider (1981),Drama
414,160694,2.5,1685571065,Patterns of Evidence: The Exodus (2015),Documentary
806,67298,3.5,1603214184,Hangman's Knot (1952),Western
386,179689,5.0,1600838576,Chervonyy (2017),Drama
192,74271,2.5,1598273002,Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia) (1982),Action|Adventure|Animation|Drama|Sci-Fi
956,155824,1.0,1505583428,Honey Night (2015),Drama|Thriller
277,27764,1.0,1508025696,2LDK (2003),Drama|Horror|Thriller
161,196603,3.0,1615227581,Mother Ghost (2002),Comedy|Drama
460,162,4.0,1688057843,Crumb (1994),Documentary
314,167980,4.0,1523511660,Coin Heist (2017),Crime|Drama
22,85394,4.0,1684857796,Cave of Forgotten Dreams (2010),Documentary
253,4519,0.5,1563550386,"Land Before Time, The (1988)",Adventure|Animation|Children|Fantasy
748,187985,1.0,1557910076,Story of One Crime (1962),Animation
857,181673,5.0,1585380122,Hard Makeup (2014),Drama
561,164955,2.5,1636679692,Adopt a Sailor (2008),Comedy|Drama|Romance
475,100485,5.0,1626679859,Unfinished Song (Song for Marion) (2012),Comedy|Drama|Romance
59,115669,3.0,1544191414,Young Detective Dee: Rise of the Sea Dragon (Di Renjie: Shen du long wang) (2013),Action|Adventure|Drama|Fantasy|Mystery|IMAX
511,85744,4.5,1569411398,Sube y Baja (1959),Comedy
682,8958,0.5,1651894078,Ray (2004),Drama
476,194270,1.0,1526186916,Bloodrunners (2017),Crime|Horror
700,166486,3.0,1683547273,Jackie (2016),Drama
976,4811,5.0,1646382728,Quadrophenia (1979),Drama|Musical
783,83308,5.0,1618522046,Asphalt (1929),Drama
190,94788,4.5,1555589541,Back Street (1941),Drama
958,191925,3.0,1632631608,The Comb (1991),Animation
687,84942,5.0,1510781093,Drive Angry (2011),Action|Fantasy|Thriller
958,162738,1.0,1518342898,American Honey (2016),Comedy|Drama
563,206503,1.5,1690035819,Suspiria 25th Anniversary (2001),Documentary
876,137595,2.0,1613689889,Magic Mike XXL (2015),Comedy|Drama
567,55549,4.0,1549408509,Manufacturing Dissent (2007),Documentary
244,160464,4.5,1654750032,Tere Naal Love Ho Gaya (2012),Comedy|Drama|Romance
832,153210,1.5,1673886550,Clubbed to Death (1997),(no genres listed)
505,1177,3.0,1629507389,Enchanted April (1992),Drama|Romance
131,2651,5.0,1576807377,Frankenstein Meets the Wolf Man (1943),Horror
485,40033,2.0,1589310915,"Adventures of Prince Achmed, The (Abenteuer des Prinzen Achmed, Die) (1926)",Adventure|Animation|Fantasy|Romance
819,202447,3.5,1646041698,On a Magical Night (2019),Comedy
647,144092,3.5,1676156763,The Violent Four (1968),Crime|Drama
21,176803,5.0,1512409404,What the Waters Left Behind,Horror
